name,price,status,shipping,freereturns,itemssold
"2020 Apple MacBook Air 13"" Silver 1.1GHz i3 8GB 256GB SSD Certified Refurbished",71999,Certified - Refurbished,0,True,28
"Apple MacBook Pro Retina 15"" (2012) Core i7 - 2.3GHz - Choose Specs & Condition",27995,Pre-Owned,0,True,0
"Apple Macbook Core M3 1.1GHz 8GB RAM 256GB SSD 12"" Space Gray MLH72LL/A (2016)",36997,Refurbished,0,True,0
New ListingMacBook Pro 13 Space Gray 2020 3.2 GHz M1 8-Core GPU 16GB 2TB 2 Years Apple Care,174900,Pre-Owned,1344,False,0
"Apple MacBook Pro MD103LL/A Core i7 2.3 15"" 16GB 500GB LOADED! ",23935,Pre-Owned,0,True,0
"13"" Apple MacBook Air 8GB 3.2Ghz TURBO i7 512GB SSD OSx-2019 - 3 YEAR WARRANTY",49900,Pre-Owned,0,True,64
"New ListingApple MacBook Pro 13in (512GB SSD, M1, 8GB RAM) Laptop - Space Gray",70000,Open Box,0,False,0
New ListingMacbook Air 13” (Early 2014) i5 4GB RAM 128GB Storage,28000,Pre-Owned,0,False,0
"Apple MacBook Pro 15"" 2.3GHz i7 8GB RAM 480GB SSD Certified Refurbished A1286",50999,Certified - Refurbished,0,True,0
"BUNDLE/READ - MacBook Air 11"" 2015 2.2 GHz Core i7, 8GB RAM, 512GB SSD",29998,Pre-Owned,0,True,0
"2020 Apple MacBook Air 13"" Gray | 1.1GHz i3 8GB 256GB SSD Certified Refurbished",87900,Certified - Refurbished,0,True,0
MACBOOK PRO 13 Retina 3.1GHz Intel i5 Turbo | 8GB RAM 512GB SSD OS2020 WARRANTY,48800,Refurbished,0,True,0
Apple Macbook Pro 13 | PRE-RETINA | Intel | 8GB RAM | 256GB SSD | MacOS 2016,36400,Refurbished,0,True,0
Apple Macbook Pro 13'' Intel Core i7-7660U 2.5GHz 16GB RAM 256GB SSD B-GRADE,57000,Pre-Owned,0,True,0
"New ListingApple MacBook 12"" (512GB, Intel Core i5 7th Gen., 1.3GHz, 8GB RAM) A1534",26700,Pre-Owned,1902,False,0
"New ListingApple MacBook Pro A1708 13"" (1TB, Intel Core i7, 2.5 GHz, 16 GB) 2017 - Loaded!",39900,Pre-Owned,3140,False,0
"New ListingMacBook Pro (13-inch, 2020) – GREAT CONDITION – 16 GB RAM, 512GB SSD, 4-core i5",98765,Pre-Owned,0,False,0
"New ListingApple MacBook Pro A1398 15.4"" Laptop - ME294LL/A (October, 2013)",30000,Pre-Owned,0,False,0
Apple MacBook Pro 15 inch Laptop / Quad Core i7 / 16GB RAM 1TB SSD / MacOS2017,59500,Refurbished,0,True,134
